nom,date,national_cumulative_confirmed_deaths
Befale,2026-05-27,17
Lotumbe,2026-05-27,17
Monkoto,2026-05-27,17
Djombo,2026-05-27,17
Bongandanga,2026-05-27,17
Lingomo,2026-05-27,17
Basankusu,2026-05-27,17
Boende,2026-05-27,17
Mompono,2026-05-27,17
Monieka,2026-05-27,17
Banjow Moke,2026-05-27,17
Inongo,2026-05-27,17
Wangata,2026-05-27,17
Bolenge,2026-05-27,17
Bolomba,2026-05-27,17
Ingende,2026-05-27,17
Iboko,2026-05-27,17
Irebu,2026-05-27,17
Mbandaka,2026-05-27,17
Lukolela,2026-05-27,17
Bikoro,2026-05-27,17
Ntondo,2026-05-27,17
Lilanga Bobangi,2026-05-27,17
