nom,date,national_cumulative_suspected_cases
Mabalako,5/27/26,906
Biena,5/27/26,906
Masereka,5/27/26,906
Lubero,5/27/26,906
Manguredjipa,5/27/26,906
Mutwanga,5/27/26,906
Kamango,5/27/26,906
Oicha,5/27/26,906
Binza,5/27/26,906
Rwanguba,5/27/26,906
Rutshuru,5/27/26,906
Birambizo,5/27/26,906
Beni,5/27/26,906
Vuhovi,5/27/26,906
Musienene,5/27/26,906
Butembo,5/27/26,906
Katwa,5/27/26,906
Kayna,5/27/26,906
Goma,5/27/26,906
Karisimbi,5/27/26,906
Kibua,5/27/26,906
Masisi,5/27/26,906
Mweso,5/27/26,906
Kirotshe,5/27/26,906
Pinga,5/27/26,906
Walikale,5/27/26,906
Kibirizi,5/27/26,906
Kalunguta,5/27/26,906
Alimbongo,5/27/26,906
Nyiragongo,5/27/26,906
Katoyi,5/27/26,906
Bambo,5/27/26,906
Itebero,5/27/26,906
Mwana,5/27/26,906
Kaziba,5/27/26,906
Nyantende,5/27/26,906
Nyangezi,5/27/26,906
Kabare,5/27/26,906
Mubumbano,5/27/26,906
Walungu,5/27/26,906
Hauts-Plateaux,5/27/26,906
Kaniola,5/27/26,906
Kalonge,5/27/26,906
Bunyakiri,5/27/26,906
Uvira,5/27/26,906
Kitutu,5/27/26,906
Kamituga,5/27/26,906
Itombwe,5/27/26,906
Minembwe,5/27/26,906
Nundu,5/27/26,906
Ruzizi,5/27/26,906
Lemera,5/27/26,906
Fizi,5/27/26,906
Shabunda,5/27/26,906
Lulingu,5/27/26,906
Kalole,5/27/26,906
Mwenga,5/27/26,906
Mulungu,5/27/26,906
Bagira,5/27/26,906
Kadutu,5/27/26,906
Ibanda,5/27/26,906
Katana,5/27/26,906
Lualaba,5/27/26,906
Kafakumba,5/27/26,906
Kanzenze,5/27/26,906
Kasaji,5/27/26,906
Dilolo,5/27/26,906
Sandoa,5/27/26,906
Kalamba,5/27/26,906
Lubudi,5/27/26,906
Bunkeya,5/27/26,906
Fungurume,5/27/26,906
Kambove,5/27/26,906
Lubumbashi,5/27/26,906
Kisanga,5/27/26,906
Katuba,5/27/26,906
Mumbunda,5/27/26,906
Kipushi,5/27/26,906
Sakania,5/27/26,906
Kafubu,5/27/26,906
Kilela Balanda,5/27/26,906
Manika,5/27/26,906
Vangu,5/27/26,906
Kowe,5/27/26,906
Mitwaba,5/27/26,906
Gombe,5/27/26,906
Minova,5/27/26,906
Kalehe,5/27/26,906
Miti-Murhesa,5/27/26,906
Idjwi,5/27/26,906
Aba,5/27/26,906
Masina II,5/27/26,906
Kapanga,5/27/26,906
Dilala,5/27/26,906
Mutshatsha,5/27/26,906
Kikula,5/27/26,906
Kimbi Lulenge,5/27/26,906
Ferekeni,5/27/26,906
Wapinda,5/27/26,906
Likasi,5/27/26,906
Kasenga,5/27/26,906
Ntandembelo,5/27/26,906
Yumbi,5/27/26,906
Tshudi Loto,5/27/26,906
Kiri,5/27/26,906
Bosanga,5/27/26,906
Yalifafo,5/27/26,906
Dekese,5/27/26,906
Mimia,5/27/26,906
Makanza,5/27/26,906
Bomongo,5/27/26,906
Lolanga Mampoko,5/27/26,906
Penjwa,5/27/26,906
Bokungu,5/27/26,906
Wema,5/27/26,906
Befale,5/27/26,906
Lotumbe,5/27/26,906
Monkoto,5/27/26,906
Djombo,5/27/26,906
Bongandanga,5/27/26,906
Lingomo,5/27/26,906
Basankusu,5/27/26,906
Boende,5/27/26,906
Mompono,5/27/26,906
Monieka,5/27/26,906
Banjow Moke,5/27/26,906
Inongo,5/27/26,906
Wangata,5/27/26,906
Bolenge,5/27/26,906
Bolomba,5/27/26,906
Ingende,5/27/26,906
Iboko,5/27/26,906
Irebu,5/27/26,906
Mbandaka,5/27/26,906
Lukolela,5/27/26,906
Bikoro,5/27/26,906
Ntondo,5/27/26,906
Lilanga Bobangi,5/27/26,906
