nom,date,national_cumulative_confirmed_cases
Yalifafo,14/05/2026,8
Dekese,14/05/2026,8
Mimia,14/05/2026,8
Makanza,14/05/2026,8
Bomongo,14/05/2026,8
Lolanga Mampoko,14/05/2026,8
Penjwa,14/05/2026,8
Bokungu,14/05/2026,8
Wema,14/05/2026,8
Befale,14/05/2026,8
Lotumbe,14/05/2026,8
Monkoto,14/05/2026,8
Djombo,14/05/2026,8
Bongandanga,14/05/2026,8
Lingomo,14/05/2026,8
Basankusu,14/05/2026,8
Boende,14/05/2026,8
Mompono,14/05/2026,8
Monieka,14/05/2026,8
Banjow Moke,14/05/2026,8
Inongo,14/05/2026,8
Wangata,14/05/2026,8
Bolenge,14/05/2026,8
Bolomba,14/05/2026,8
Ingende,14/05/2026,8
Iboko,14/05/2026,8
Irebu,14/05/2026,8
Mbandaka,14/05/2026,8
Lukolela,14/05/2026,8
Bikoro,14/05/2026,8
Ntondo,14/05/2026,8
Lilanga Bobangi,14/05/2026,8
Wembo Nyama,17/05/2026,13
Kole,17/05/2026,13
Pania Mutombo,17/05/2026,13
Minga,17/05/2026,13
Lusambo,17/05/2026,13
Dikungu,17/05/2026,13
Vanga Kete,17/05/2026,13
Lodja,17/05/2026,13
Omendjadi,17/05/2026,13
Djalo Djeka,17/05/2026,13
Katako Kombe,17/05/2026,13
Bena Dibele,17/05/2026,13
Kamiji,17/05/2026,13
Tshitenge,17/05/2026,13
Miabi,17/05/2026,13
Ngandajika,17/05/2026,13
Mulumba,17/05/2026,13
Tshilenge,17/05/2026,13
Cilundu,17/05/2026,13
Lubao,17/05/2026,13
Kalonda Est,17/05/2026,13
Kabinda,17/05/2026,13
Ludimbi Lukula,17/05/2026,13
Kalambayi Kabanga,17/05/2026,13
Makota,17/05/2026,13
Mwene Ditu,17/05/2026,13
Wikong,17/05/2026,13
Luputa,17/05/2026,13
Kanda Kanda,17/05/2026,13
Bonzola,17/05/2026,13
Dibindi,17/05/2026,13
Kansele,17/05/2026,13
Muya,17/05/2026,13
Diulu,17/05/2026,13
Bipemba,17/05/2026,13
Mpokolo,17/05/2026,13
Nzaba,17/05/2026,13
Kabeya Kamuanga,17/05/2026,13
Mukumbi,17/05/2026,13
Lukelenge,17/05/2026,13
Tshishimbi,17/05/2026,13
Lubilanji,17/05/2026,13
Kamana,17/05/2026,13
Kasansa,17/05/2026,13
Bibanga,17/05/2026,13
Kalenda,17/05/2026,13
Tshofa,17/05/2026,13
Pimu,17/05/2026,13
Nyanga,17/05/2026,13
Kalonda Ouest,17/05/2026,13
Kamonia,17/05/2026,13
Mutena,17/05/2026,13
Banga Lubaka,17/05/2026,13
Kamwesha,17/05/2026,13
Mweka,17/05/2026,13
Moba,17/05/2026,13
Bogosenubia,17/05/2026,13
Moanda,17/05/2026,13
Kitona,17/05/2026,13
Boma,17/05/2026,13
Boma Bungu,17/05/2026,13
Seke-Banza,17/05/2026,13
Inga,17/05/2026,13
Lukula,17/05/2026,13
Tshela,17/05/2026,13
Vaku,17/05/2026,13
Kizu,17/05/2026,13
Kibunzi,17/05/2026,13
Luozi,17/05/2026,13
Kimpangu,17/05/2026,13
Ngidinga,17/05/2026,13
Boko-Kivulu,17/05/2026,13
Mbanza-Ngungu,17/05/2026,13
Kwilu-Ngongo,17/05/2026,13
Kisantu,17/05/2026,13
Mikope,17/05/2026,13
Oshwe,17/05/2026,13
Bosobe,17/05/2026,13
Bokoro,17/05/2026,13
Masi-Manimba,17/05/2026,13
Yasa-Bonga,17/05/2026,13
Idiofa,17/05/2026,13
Ipamu,17/05/2026,13
Koshibanda,17/05/2026,13
Kingandu,17/05/2026,13
Bulungu,17/05/2026,13
Bagata,17/05/2026,13
Bandundu,17/05/2026,13
Kajiji,17/05/2026,13
Kikwit-Nord,17/05/2026,13
Lusanga,17/05/2026,13
Feshi,17/05/2026,13
Wamba Lwadi,17/05/2026,13
Panzi,17/05/2026,13
Tembo,17/05/2026,13
Moanza,17/05/2026,13
Kimbau,17/05/2026,13
Kenge,17/05/2026,13
Boko,17/05/2026,13
Viadana,17/05/2026,13
Poko,17/05/2026,13
Basali,17/05/2026,13
Basoko,17/05/2026,13
Bengamisa,17/05/2026,13
Yakusu,17/05/2026,13
Yahisuli,17/05/2026,13
Yabaondo,17/05/2026,13
Isangi,17/05/2026,13
Yaleko,17/05/2026,13
Banalia,17/05/2026,13
Bafwasende,17/05/2026,13
Bafwagbogbo,17/05/2026,13
Buta,17/05/2026,13
Titule,17/05/2026,13
Ganga,17/05/2026,13
Vanga,17/05/2026,13
Djuma,17/05/2026,13
Sia,17/05/2026,13
Mungindu,17/05/2026,13
Kimputu,17/05/2026,13
Mosango,17/05/2026,13
Pay Kongila,17/05/2026,13
Matadi,17/05/2026,13
Nzanza,17/05/2026,13
Ndjili,17/05/2026,13
Mont Ngafula I,17/05/2026,13
Biyela,17/05/2026,13
Kikimi,17/05/2026,13
Lemba,17/05/2026,13
Matete,17/05/2026,13
Kisenso,17/05/2026,13
Lingwala,17/05/2026,13
Barumbu,17/05/2026,13
Kinshasa,17/05/2026,13
Limete,17/05/2026,13
Kalamu II,17/05/2026,13
Kalamu I,17/05/2026,13
Bumbu,17/05/2026,13
Makala,17/05/2026,13
Ngaba,17/05/2026,13
Bandalungwa,17/05/2026,13
Selembao,17/05/2026,13
Masina I,17/05/2026,13
Kintambo,17/05/2026,13
Kasa-Vubu,17/05/2026,13
Ngiri-Ngiri,17/05/2026,13
Binza Meteo,17/05/2026,13
Binza Ozone,17/05/2026,13
Kikongo,17/05/2026,13
Mont Ngafula II,17/05/2026,13
Sona-Bata,17/05/2026,13
Nsele,17/05/2026,13
Kanzala,17/05/2026,13
Tshikapa,17/05/2026,13
Kingasani,17/05/2026,13
Kimbanseke,17/05/2026,13
Bwamanda,17/05/2026,13
Kungu,17/05/2026,13
Loko,17/05/2026,13
Bangabola,17/05/2026,13
Boso Mondanda,17/05/2026,13
Budjala,17/05/2026,13
Binga,17/05/2026,13
Yamaluka,17/05/2026,13
Boso Manzi,17/05/2026,13
Karawa,17/05/2026,13
Bominenge,17/05/2026,13
Gemena,17/05/2026,13
Mbaya,17/05/2026,13
Bulu,17/05/2026,13
Tandala,17/05/2026,13
Kibombo,17/05/2026,13
Kindu,17/05/2026,13
Alunguli,17/05/2026,13
Kokolo,17/05/2026,13
Police,17/05/2026,13
Makiso-Kisangani,17/05/2026,13
Mangobo,17/05/2026,13
Kabondo,17/05/2026,13
Tshopo,17/05/2026,13
Kaniama,17/05/2026,13
Kalemie,17/05/2026,13
Kansimba,17/05/2026,13
Butumba,17/05/2026,13
Kinkondja,17/05/2026,13
Baka,17/05/2026,13
Kiyambi,17/05/2026,13
Manono,17/05/2026,13
Samba,17/05/2026,13
Kasongo,17/05/2026,13
Kunda,17/05/2026,13
Saramabila,17/05/2026,13
Kampene,17/05/2026,13
Nyemba,17/05/2026,13
Nyunzu,17/05/2026,13
Kabambare,17/05/2026,13
Pangi,17/05/2026,13
Kalima,17/05/2026,13
Yalimbongo,17/05/2026,13
Aketi,17/05/2026,13
Lolo,17/05/2026,13
Yamongili,17/05/2026,13
Abuzi,17/05/2026,13
Yambuku,17/05/2026,13
Wasolo,17/05/2026,13
Bosondjo,17/05/2026,13
Bumba,17/05/2026,13
Mondombe,17/05/2026,13
Djolu,17/05/2026,13
Opienge,17/05/2026,13
Obokote,17/05/2026,13
Lowa,17/05/2026,13
Wanierukula,17/05/2026,13
Lubutu,17/05/2026,13
Kitenda,17/05/2026,13
Kasongo Lunda,17/05/2026,13
Popokabaka,17/05/2026,13
Kimvula,17/05/2026,13
Maluku I,17/05/2026,13
Kimpese,17/05/2026,13
Nsona-Mpangu,17/05/2026,13
Kangu,17/05/2026,13
Kuimba,17/05/2026,13
Kinkonzi,17/05/2026,13
Mangembo,17/05/2026,13
Gombe-Matadi,17/05/2026,13
Masa,17/05/2026,13
Bokonzi,17/05/2026,13
