,nom,gdp_pc
424,Kalonge,851.276564649127
425,Bunyakiri,845.645319330601
426,Uvira,801.986081565313
427,Kitutu,859.382553982664
428,Kamituga,862.123304458636
429,Itombwe,997.371596735294
430,Minembwe,1414.8636187377
431,Nundu,1372.07714430362
432,Ruzizi,798.703029739782
433,Lemera,872.95093663997
434,Fizi,1445.14954732658
435,Shabunda,728.042627423789
436,Lulingu,727.298812834747
437,Kalole,730.94554082278
438,Mwenga,877.31756732336
439,Mulungu,732.267722758636
440,Bagira,1140.88885028325
441,Kadutu,1286.35516648672
442,Ibanda,1457.5590420143
443,Katana,815.173695265502
444,Lualaba,728.239074796007
445,Kafakumba,792.514137867019
446,Kanzenze,864.055676188505
447,Kasaji,621.132887483293
448,Dilolo,1242.02608425696
449,Sandoa,796.09122437435
450,Kalamba,621.321006880039
451,Lubudi,893.738511406004
452,Bunkeya,890.210477603557
453,Fungurume,897.802082904903
454,Kambove,635.266466790071
455,Lubumbashi,1646.57993601396
456,Kisanga,901.421407060783
457,Katuba,730.13401655154
458,Mumbunda,919.891015355872
459,Kipushi,1542.95760020846
460,Sakania,1656.74339506156
461,Kafubu,809.162280736987
462,Kilela Balanda,758.095437871531
463,Manika,691.155818182226
464,Vangu,1661
465,Kowe,1661
466,Mitwaba,700.305417768717
467,Gombe,2379.08604686625
468,Minova,866.837386126792
469,Kalehe,853.410383422484
470,Miti-Murhesa,848.40967878443
471,Idjwi,904.389350508867
472,Aba,614.339839378669
473,Masina II,2316
474,Kapanga,621.432892267184
475,Dilala,728.603671864329
476,Mutshatsha,739.824384164182
477,Kikula,642.01825657707
478,Kimbi Lulenge,1305.57718805314
479,Ferekeni,687.94731294399
480,Wapinda,684.594970010286
481,Likasi,1287.09699062126
482,Kasenga,1742.26625549288
483,Ntandembelo,758.42433054476
484,Yumbi,700.140278742594
485,Tshudi Loto,947.096301785862
486,Kiri,695.934637479514
487,Bosanga,641.876659160492
488,Yalifafo,633.213632606294
489,Dekese,643.000685005072
490,Mimia,627.462325124114
491,Makanza,602.804125622342
492,Bomongo,1087.6421266007
493,Lolanga Mampoko,733.654893317019
494,Penjwa,688.659659055601
495,Bokungu,632.340799024736
496,Wema,765.203557458786
497,Befale,749.701598073418
498,Lotumbe,620.567430104489
499,Monkoto,673.685668982071
500,Djombo,682.748742120091
501,Bongandanga,943.835335442353
502,Lingomo,583.370066181489
503,Basankusu,846.662419958458
504,Boende,764.395223560386
505,Mompono,735.86372045964
506,Monieka,742.530600975155
507,Banjow Moke,739.538938020536
508,Inongo,757.269127273054
509,Wangata,1330.31067158196
510,Bolenge,1371.81745035597
511,Bolomba,731.14041519861
512,Ingende,620.059844222664
513,Iboko,658.617798634935
514,Irebu,1056.59882395159
515,Mbandaka,1429.90519983585
516,Lukolela,1398.74572423707
517,Bikoro,719.046760900863
518,Ntondo,660.827047428059
519,Lilanga Bobangi,1548.76587095465
