,nom,socioeconomic_inequality
492,Bomongo,0.351965645551535
493,Lolanga Mampoko,0.31784324768922
494,Penjwa,0.420568691622476
495,Bokungu,0.212212001706577
496,Wema,0.212027169365446
497,Befale,0.224456460411067
498,Lotumbe,0.317101801939239
499,Monkoto,0.236990942159678
500,Djombo,0.307836608385363
501,Bongandanga,0.291362575593683
502,Lingomo,0.28613036159323
503,Basankusu,0.314852634256009
504,Boende,0.219001059300295
505,Mompono,0.213517925615629
506,Monieka,0.287828783912249
507,Banjow Moke,0.518399485504201
508,Inongo,0.537628583264158
509,Wangata,0.318479287999699
510,Bolenge,0.324772403677753
511,Bolomba,0.317903492433889
512,Ingende,0.327439583149929
513,Iboko,0.388215561941952
514,Irebu,0.333948968171264
515,Mbandaka,0.318010088592795
516,Lukolela,0.340490464047133
517,Bikoro,0.321737583238517
518,Ntondo,0.360304698770836
519,Lilanga Bobangi,0.345467210359773
