,nom,socioeconomic_deprivation
161,Boso Mondanda,0.881656102788597
162,Budjala,0.881892122463921
163,Binga,0.873460814291482
164,Yamaluka,0.848888129198248
165,Boso Manzi,0.881925216348087
166,Karawa,0.882000029087068
167,Bominenge,0.882000029087063
168,Gemena,0.882000029087066
169,Mbaya,0.880141288698065
170,Bulu,0.87952985920163
171,Tandala,0.881998450398961
172,Kibombo,0.882000029087068
173,Kindu,0.882000029087067
174,Alunguli,0.882000029087066
175,Kokolo,0.675536133859343
176,Police,0.673580760653219
177,Makiso-Kisangani,0.824379742914412
178,Mangobo,0.829949024542376
179,Kabondo,0.826378970599736
180,Tshopo,0.815005348368226
181,Kaniama,0.881991498990553
182,Kalemie,0.844894407180076
183,Kansimba,0.87396309277658
184,Butumba,0.875029511928108
185,Kinkondja,0.863589092541349
186,Baka,0.850986837908869
187,Kiyambi,0.874664067680564
188,Manono,0.858978933445119
189,Samba,0.882000029087065
190,Kasongo,0.882000029087069
191,Kunda,0.882000029087068
192,Saramabila,0.882000029087067
193,Kampene,0.881997168113339
194,Nyemba,0.831406598639276
195,Nyunzu,0.874337075027719
196,Kabambare,0.875908304873088
197,Pangi,0.878065542479449
198,Kalima,0.855113612251234
199,Yalimbongo,0.872875773260181
200,Aketi,0.881784571485619
201,Lolo,0.867263041947627
202,Yamongili,0.86213914155931
203,Abuzi,0.882000029087066
204,Yambuku,0.881555618788862
205,Wasolo,0.886079006634297
206,Bosondjo,0.87419378537713
207,Bumba,0.84347895860015
208,Mondombe,0.882000029087066
209,Djolu,0.881948983488257
210,Opienge,0.880047860135654
211,Obokote,0.858230945997153
212,Lowa,0.87930622853621
213,Wanierukula,0.863788975514171
214,Lubutu,0.881191367634236
215,Kitenda,0.840459786228517
216,Kasongo Lunda,0.779384961250279
217,Popokabaka,0.876559543637805
218,Kimvula,0.867056841569043
219,Maluku I,0.853235469374823
220,Kimpese,0.805058727789832
221,Nsona-Mpangu,0.771329280339184
222,Kangu,0.780885131392525
223,Kuimba,0.637360205959396
224,Kinkonzi,0.801063458862738
225,Mangembo,0.820834896731286
226,Gombe-Matadi,0.787881625358615
227,Masa,0.744472826617795
228,Bokonzi,0.852366330749227
229,Mawuya,0.842554971589367
230,Zongo,0.821203831422023
231,Libenge,0.868046392828372
232,Bili (Nord-Ubangi),0.892246637662475
233,Gbadolite,0.828846143438248
234,Mobayi Mbongo,0.8556121869607
235,Yakoma,0.907849954049676
236,Monga,0.887222888372906
237,Bondo,0.880178011266852
238,Bili (Bas-Uele),0.881490786769249
239,Ango,0.882858546211464
240,Opala,0.882000029087065
241,Kahemba,0.86569755136146
242,Gungu,0.863144272502709
243,Kitangwa,0.875363916878817
244,Mukedi,0.880853427965338
245,Kongolo,0.882000029087062
246,Mbulula,0.882000029087071
247,Kabalo,0.882000026684093
248,Bukama,0.852046595334524
249,Kabondo Dianda,0.862759921639487
250,Kabongo,0.870291084347462
251,Songa,0.856390363881483
