,nom,urban_fraction
504,Boende,0.000487916321318644
505,Mompono,0
506,Monieka,2.65912380667944e-05
507,Banjow Moke,0.00142913480875458
508,Inongo,0.000494922378977814
509,Wangata,0.174582833842592
510,Bolenge,0.000972253910982438
511,Bolomba,5.11955556946226e-05
512,Ingende,0.000157551644821381
513,Iboko,0.000229833850854341
514,Irebu,0.00188747925044915
515,Mbandaka,0.0107283507400492
516,Lukolela,0.000938500859089043
517,Bikoro,0.000404820732909449
518,Ntondo,0.000316108803673324
519,Lilanga Bobangi,3.75214566238202e-05
